id,violationId,mineId,mineName,inspectionId,category,severity,description,status,detectedDate,resolutionDeadline,resolvedDate,reportedBy,reportedByName,aiDetected,aiConfidence,aiContributingFactors,createdAt
VIO-001,VIO-2026-001,MINE-006,Jharia Underground Mine,INS-005,Safety,critical,"Inadequate mine ventilation system in deep underground sections. CO levels exceeded permissible limits in sections B3 and B4.",confirmed,2026-04-10,2026-05-10,,USR-002,Sunil Prakash Verma,true,0.94,"CO readings above 35ppm; Ventilation flow rate below minimum; Historical ventilation issues",2026-04-10
VIO-002,VIO-2026-002,MINE-006,Jharia Underground Mine,INS-005,Environment,high,"Unauthorized discharge of mine water into nearby Damodar River without proper treatment. Water samples showed elevated heavy metal concentrations.",remediation,2026-04-10,2026-06-10,,USR-002,Sunil Prakash Verma,false,,,2026-04-10
VIO-003,VIO-2026-003,MINE-003,Talcher Underground Mine,INS-003,Safety,high,"Multiple workers observed without proper PPE (helmets, safety boots) in active mining zones during routine shift.",open,2026-05-20,2026-06-20,,USR-005,Deepak Chandra Mishra,true,0.91,"Image analysis detected missing helmets; PPE violation pattern in last 3 inspections",2026-05-20
VIO-004,VIO-2026-004,MINE-003,Talcher Underground Mine,INS-003,Equipment,medium,"Conveyor belt safety guards missing at 3 transfer points. Emergency stop mechanisms not functional at point C2.",remediation,2026-05-20,2026-07-20,,USR-005,Deepak Chandra Mishra,false,,,2026-05-20
VIO-005,VIO-2026-005,MINE-009,Wani Underground Mine,INS-007,Documentation,medium,"Mining plan not updated after recent expansion of Section D. Geological survey reports for new sections not submitted.",open,2026-06-05,2026-08-05,,USR-002,Sunil Prakash Verma,true,0.78,"Document expiry detected; Mining plan revision date overdue",2026-06-05
VIO-006,VIO-2026-006,MINE-004,Sonepur Bazari Opencast Mine,INS-006,Environment,high,"Dust suppression systems non-operational on haul roads. PM10 levels at mine boundary exceeded CPCB standards.",remediation,2026-06-30,2026-08-30,,USR-005,Deepak Chandra Mishra,true,0.88,"PM10 readings 2.3x above threshold; Dust suppression system offline for 5 days",2026-06-30
VIO-007,VIO-2026-007,MINE-006,Jharia Underground Mine,INS-005,Emergency Preparedness,critical,"Emergency evacuation routes blocked by stored equipment. Self-rescuers expired for 40% of underground workforce.",open,2026-04-10,2026-04-25,,USR-002,Sunil Prakash Verma,false,,,2026-04-10
VIO-008,VIO-2026-008,MINE-001,Rajmahal Opencast Mine,INS-001,Labor,medium,"Working hours exceeding statutory limits for night shift workers. Overtime records not properly maintained.",resolved,2026-07-15,2026-08-15,2026-08-10,USR-002,Sunil Prakash Verma,false,,,2026-07-15
VIO-009,VIO-2026-009,MINE-003,Talcher Underground Mine,,Environment,high,"Groundwater monitoring wells not maintained. Last water quality testing data is 6 months old.",open,2026-08-01,2026-09-01,,USR-005,Deepak Chandra Mishra,true,0.82,"Last water quality report 183 days old; Monitoring well maintenance log gaps",2026-08-01
VIO-010,VIO-2026-010,MINE-009,Wani Underground Mine,INS-007,Safety,high,"Roof support bolting pattern not as per approved strata control plan in newly developed galleries.",under_investigation,2026-06-05,2026-07-05,,USR-002,Sunil Prakash Verma,false,,,2026-06-05
VIO-011,VIO-2026-011,MINE-006,Jharia Underground Mine,INS-005,Operations,high,"Active mine fire zone not properly sealed. Heat signatures detected near abandoned workings in Section A.",confirmed,2026-04-10,2026-04-20,,USR-002,Sunil Prakash Verma,true,0.96,"Thermal imaging anomaly; Historical fire records in vicinity; CO level spike",2026-04-10
VIO-012,VIO-2026-012,MINE-004,Sonepur Bazari Opencast Mine,INS-006,Safety,low,"Safety signage faded and illegible at 5 locations along haul roads.",resolved,2026-06-30,2026-07-30,2026-07-20,USR-005,Deepak Chandra Mishra,false,,,2026-06-30
