id,inspectionId,mineId,mineName,inspectorId,inspectorName,assignedBy,inspectionType,scheduledDate,completedDate,status,overallRemarks,complianceScore,findingsCount,violationsFound,createdAt
INS-001,INS-2026-001,MINE-001,Rajmahal Opencast Mine,USR-002,Sunil Prakash Verma,USR-001,Routine,2026-07-15,2026-07-15,completed,"Mine operations generally satisfactory. Minor labor regulation concerns noted regarding overtime hours. Environmental parameters within acceptable limits.",85,3,1,2026-07-01
INS-002,INS-2026-002,MINE-002,Gevra Mega Opencast Mine,USR-005,Deepak Chandra Mishra,USR-001,Routine,2026-08-01,2026-08-01,completed,"Excellent compliance maintained across all parameters. Advanced safety systems fully operational. Environmental monitoring robust.",96,1,0,2026-07-15
INS-003,INS-2026-003,MINE-003,Talcher Underground Mine,USR-005,Deepak Chandra Mishra,USR-001,Special,2026-05-20,2026-05-20,completed,"Multiple safety and PPE violations observed. Underground ventilation adequate but monitoring gaps found. Requires immediate corrective actions for worker safety.",58,7,3,2026-05-10
INS-004,INS-2026-004,MINE-005,Singrauli Coal Mine,USR-002,Sunil Prakash Verma,USR-001,Routine,2026-07-25,2026-07-25,completed,"Good overall compliance. Minor documentation gap in updated mining plan. Environmental controls functioning well.",90,2,1,2026-07-10
INS-005,INS-2026-005,MINE-006,Jharia Underground Mine,USR-002,Sunil Prakash Verma,USR-001,Emergency,2026-04-10,2026-04-10,completed,"Critical violations discovered. Underground fire zone not properly managed. Emergency preparedness severely inadequate. Ventilation system failure in deep sections. Immediate remedial actions mandated.",35,12,5,2026-04-05
INS-006,INS-2026-006,MINE-004,Sonepur Bazari Opencast Mine,USR-005,Deepak Chandra Mishra,USR-001,Routine,2026-06-30,2026-06-30,completed,"Dust suppression systems require immediate attention. Environmental readings exceeding limits on haul roads. Safety signage needs replacement at multiple locations.",72,5,3,2026-06-15
INS-007,INS-2026-007,MINE-009,Wani Underground Mine,USR-002,Sunil Prakash Verma,USR-001,Routine,2026-06-05,2026-06-05,under_review,"Documentation not up to date. Roof support pattern deviation from approved plan. Groundwater monitoring deficient.",65,6,3,2026-05-20
INS-008,INS-2026-008,MINE-007,Singareni Opencast Mine,USR-005,Deepak Chandra Mishra,USR-001,Routine,2026-07-20,2026-07-20,completed,"Generally compliant. Good environmental practices observed. Minor equipment maintenance observation.",88,2,1,2026-07-05
INS-009,INS-2026-009,MINE-008,Kusmunda Super OC Mine,USR-002,Sunil Prakash Verma,USR-001,Routine,2026-08-10,2026-08-10,completed,"Exemplary compliance. Best practices in safety and environmental management. Model mine for governance standards.",97,0,0,2026-07-25
INS-010,INS-2026-010,MINE-010,Basundhara Opencast Mine,USR-005,Deepak Chandra Mishra,USR-001,Routine,2026-09-15,,scheduled,,,,0,2026-08-20
INS-011,INS-2026-011,MINE-003,Talcher Underground Mine,USR-002,Sunil Prakash Verma,USR-001,Follow-up,2026-09-20,,scheduled,,,,0,2026-08-15
INS-012,INS-2026-012,MINE-006,Jharia Underground Mine,USR-002,Sunil Prakash Verma,USR-001,Follow-up,2026-09-10,,scheduled,,,,0,2026-08-20
