mineId,mineName,parameter,month,value,unit,threshold,thresholdSource
MINE-001,Rajmahal Opencast Mine,air_quality,2026-03,128.3,AQI,200,CPCB Limit
MINE-001,Rajmahal Opencast Mine,air_quality,2026-04,141.7,AQI,200,CPCB Limit
MINE-001,Rajmahal Opencast Mine,air_quality,2026-05,130.5,AQI,200,CPCB Limit
MINE-001,Rajmahal Opencast Mine,air_quality,2026-06,145.2,AQI,200,CPCB Limit
MINE-001,Rajmahal Opencast Mine,air_quality,2026-07,138.9,AQI,200,CPCB Limit
MINE-001,Rajmahal Opencast Mine,air_quality,2026-08,149.1,AQI,200,CPCB Limit
MINE-001,Rajmahal Opencast Mine,dust_level,2026-03,88.6,µg/m³,150,CPCB Limit
MINE-001,Rajmahal Opencast Mine,dust_level,2026-04,101.3,µg/m³,150,CPCB Limit
MINE-001,Rajmahal Opencast Mine,dust_level,2026-05,92.8,µg/m³,150,CPCB Limit
MINE-001,Rajmahal Opencast Mine,dust_level,2026-06,98.4,µg/m³,150,CPCB Limit
MINE-001,Rajmahal Opencast Mine,dust_level,2026-07,103.7,µg/m³,150,CPCB Limit
MINE-001,Rajmahal Opencast Mine,dust_level,2026-08,107.2,µg/m³,150,CPCB Limit
MINE-001,Rajmahal Opencast Mine,water_ph,2026-03,7.1,pH,8.5,Safe Range (6.5-8.5)
MINE-001,Rajmahal Opencast Mine,water_ph,2026-04,7.3,pH,8.5,Safe Range (6.5-8.5)
MINE-001,Rajmahal Opencast Mine,water_ph,2026-05,7.0,pH,8.5,Safe Range (6.5-8.5)
MINE-001,Rajmahal Opencast Mine,water_ph,2026-06,7.2,pH,8.5,Safe Range (6.5-8.5)
MINE-001,Rajmahal Opencast Mine,water_ph,2026-07,7.4,pH,8.5,Safe Range (6.5-8.5)
MINE-001,Rajmahal Opencast Mine,water_ph,2026-08,7.2,pH,8.5,Safe Range (6.5-8.5)
MINE-001,Rajmahal Opencast Mine,noise_level,2026-03,69.5,dB,85,OSHA Limit
MINE-001,Rajmahal Opencast Mine,noise_level,2026-04,73.8,dB,85,OSHA Limit
MINE-001,Rajmahal Opencast Mine,noise_level,2026-05,71.2,dB,85,OSHA Limit
MINE-001,Rajmahal Opencast Mine,noise_level,2026-06,74.6,dB,85,OSHA Limit
MINE-001,Rajmahal Opencast Mine,noise_level,2026-07,72.9,dB,85,OSHA Limit
MINE-001,Rajmahal Opencast Mine,noise_level,2026-08,75.3,dB,85,OSHA Limit
MINE-001,Rajmahal Opencast Mine,co_emission,2026-03,16.2,ppm,50,DGMS Limit
MINE-001,Rajmahal Opencast Mine,co_emission,2026-04,19.5,ppm,50,DGMS Limit
MINE-001,Rajmahal Opencast Mine,co_emission,2026-05,17.8,ppm,50,DGMS Limit
MINE-001,Rajmahal Opencast Mine,co_emission,2026-06,20.1,ppm,50,DGMS Limit
MINE-001,Rajmahal Opencast Mine,co_emission,2026-07,18.7,ppm,50,DGMS Limit
MINE-001,Rajmahal Opencast Mine,co_emission,2026-08,21.4,ppm,50,DGMS Limit
MINE-001,Rajmahal Opencast Mine,so2_level,2026-03,31.8,µg/m³,80,NAAQS Limit
MINE-001,Rajmahal Opencast Mine,so2_level,2026-04,37.2,µg/m³,80,NAAQS Limit
MINE-001,Rajmahal Opencast Mine,so2_level,2026-05,33.5,µg/m³,80,NAAQS Limit
MINE-001,Rajmahal Opencast Mine,so2_level,2026-06,38.6,µg/m³,80,NAAQS Limit
MINE-001,Rajmahal Opencast Mine,so2_level,2026-07,35.9,µg/m³,80,NAAQS Limit
MINE-001,Rajmahal Opencast Mine,so2_level,2026-08,39.8,µg/m³,80,NAAQS Limit
MINE-002,Gevra Mega Opencast Mine,air_quality,2026-03,104.2,AQI,200,CPCB Limit
MINE-002,Gevra Mega Opencast Mine,air_quality,2026-04,113.5,AQI,200,CPCB Limit
MINE-002,Gevra Mega Opencast Mine,air_quality,2026-05,108.7,AQI,200,CPCB Limit
MINE-002,Gevra Mega Opencast Mine,air_quality,2026-06,115.3,AQI,200,CPCB Limit
MINE-002,Gevra Mega Opencast Mine,air_quality,2026-07,110.9,AQI,200,CPCB Limit
MINE-002,Gevra Mega Opencast Mine,air_quality,2026-08,117.6,AQI,200,CPCB Limit
MINE-002,Gevra Mega Opencast Mine,dust_level,2026-03,72.4,µg/m³,150,CPCB Limit
