id,alertId,severity,mineId,mineName,description,status,assignedTo,assignedToName,actionTaken,createdAt,resolvedAt
ALT-001,ALT-2026-001,critical,MINE-006,Jharia Underground Mine,"Active mine fire detected near Section A. Immediate evacuation and sealing operations required.",active,USR-002,Sunil Prakash Verma,Emergency inspection initiated,2026-04-10T08:30:00,
ALT-002,ALT-2026-002,critical,MINE-006,Jharia Underground Mine,"CO levels exceeded 50ppm in underground sections B3-B4. Ventilation system failure confirmed.",active,USR-002,Sunil Prakash Verma,Workers evacuated from affected sections,2026-04-10T09:15:00,
ALT-003,ALT-2026-003,high,MINE-003,Talcher Underground Mine,"Repeated PPE violations detected in 3 consecutive inspections. Systemic non-compliance pattern identified.",active,USR-005,Deepak Chandra Mishra,,2026-05-21T10:00:00,
ALT-004,ALT-2026-004,high,MINE-004,Sonepur Bazari Opencast Mine,"PM10 dust levels at mine boundary 2.3x above CPCB standards. Community exposure risk.",acknowledged,USR-005,Deepak Chandra Mishra,Dust suppression maintenance ordered,2026-07-01T07:45:00,
ALT-005,ALT-2026-005,high,MINE-006,Jharia Underground Mine,"Emergency evacuation routes blocked. Self-rescuers expired for 40% of underground workforce.",active,USR-002,Sunil Prakash Verma,,2026-04-10T11:00:00,
ALT-006,ALT-2026-006,medium,MINE-003,Talcher Underground Mine,"Environmental clearance renewal due in 30 days. Documentation preparation required.",active,USR-003,Amit Singh Rathore,,2026-08-01T09:00:00,
ALT-007,ALT-2026-007,medium,MINE-009,Wani Underground Mine,"3 corrective actions overdue. Compliance score trending downward over last 2 months.",acknowledged,USR-002,Sunil Prakash Verma,Follow-up inspection scheduled,2026-08-05T14:30:00,
ALT-008,ALT-2026-008,medium,MINE-001,Rajmahal Opencast Mine,"Upcoming compliance deadline: Safety audit report due by September 15, 2026.",active,USR-003,Amit Singh Rathore,,2026-08-15T08:00:00,
ALT-009,ALT-2026-009,low,MINE-005,Singrauli Coal Mine,"Quarterly environmental report submission reminder. Due date: October 1, 2026.",active,USR-006,Vikram Patel,,2026-08-20T09:00:00,
ALT-010,ALT-2026-010,low,MINE-008,Kusmunda Super OC Mine,"Routine inspection completed with exemplary results. No action required.",resolved,USR-002,Sunil Prakash Verma,Acknowledged and filed,2026-08-10T16:00:00,2026-08-10T16:30:00
ALT-011,ALT-2026-011,high,MINE-003,Talcher Underground Mine,"Overdue inspection: Follow-up inspection was due on August 20. Reschedule immediately.",active,USR-001,Dr. Rajesh Kumar Sharma,,2026-08-21T08:00:00,
